==== START logs for container kubedns of pod kube-system/kube-dns-545bc4bfd4-qdscf ====
ERROR: logging before flag.Parse: I1103 02:59:15.483378       1 dnsprobe.go:75] Starting dnsProbe {Label:kubedns Server:127.0.0.1:10053 Name:kubernetes.default.svc.cluster.local. Interval:5s Type:1}
ERROR: logging before flag.Parse: I1103 02:59:15.483429       1 dnsprobe.go:75] Starting dnsProbe {Label:dnsmasq Server:127.0.0.1:53 Name:kubernetes.default.svc.cluster.local. Interval:5s Type:1}
ERROR: logging before flag.Parse: W1103 03:25:28.100875       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:45946->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:25:33.101267       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:45583->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:25:38.101564       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:47328->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:25:43.101887       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:44298->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:25:48.102171       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:39309->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:25:53.102450       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:33394->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:25:58.102745       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:47919->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:26:03.103025       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:46375->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:26:08.103311       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:49570->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:26:13.103589       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:45805->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:26:18.103874       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:38404->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:26:23.104271       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:39202->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:26:28.104578       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:49722->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:26:33.104892       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:37898->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:26:38.105167       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:59970->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:26:43.105747       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:43047->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:26:48.106084       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:47307->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:26:53.106350       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:60223->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:26:58.106657       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:43950->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:27:03.106956       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:39006->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:27:08.107229       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:39388->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:27:13.107517       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:46651->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:27:18.107809       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:58889->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:27:23.108121       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:41149->127.0.0.1:53: read: connection refused
